"Date/Time (PST)","mph (5020') Mt. Baker - Pan Dome"
"4/18/23 12 am",42.36
"4/17/23 11 pm",44.48
"4/17/23 10 pm",20.47
"4/17/23 9 pm",26.12
"4/17/23 8 pm",48.01
"4/17/23 7 pm",41.65
"4/17/23 6 pm",9.88
"4/17/23 5 pm",10.59
"4/17/23 4 pm",27.53
"4/17/23 3 pm",29.65
"4/17/23 2 pm",20.47
"4/17/23 1 pm",18.36
"4/17/23 12 pm",24
"4/17/23 11 am",19.06
"4/17/23 10 am",12
"4/17/23 9 am",16.24
"4/17/23 8 am",23.3
"4/17/23 7 am",23.3
"4/17/23 6 am",26.83
"4/17/23 5 am",38.12
"4/17/23 4 am",34.59
"4/17/23 3 am",37.42
"4/17/23 2 am",33.18
"4/17/23 1 am",29.65
"4/17/23 12 am",36.71
"4/16/23 11 pm",14.12
"4/16/23 10 pm",29.65
"4/16/23 9 pm",23.3
"4/16/23 8 pm",26.83
"4/16/23 7 pm",35.3
"4/16/23 6 pm",41.65
"4/16/23 5 pm",48.01
"4/16/23 4 pm",52.95
"4/16/23 3 pm",48.71
"4/16/23 2 pm",40.95
"4/16/23 1 pm",50.83
"4/16/23 12 pm",43.77
"4/16/23 11 am",36.01
"4/16/23 10 am",28.24
"4/16/23 9 am",28.95
"4/16/23 8 am",24
"4/16/23 7 am",31.06
"4/16/23 6 am",40.95
"4/16/23 5 am",30.36
"4/16/23 4 am",32.48
"4/16/23 3 am",34.59
"4/16/23 2 am",33.89
"4/16/23 1 am",30.36
"4/16/23 12 am",31.77
"4/15/23 11 pm",24
"4/15/23 10 pm",31.77
"4/15/23 9 pm",40.95
"4/15/23 8 pm",37.42
"4/15/23 7 pm",29.65
"4/15/23 6 pm",22.59
"4/15/23 5 pm",19.77
"4/15/23 4 pm",22.59
"4/15/23 3 pm",33.18
"4/15/23 2 pm",32.48
"4/15/23 1 pm",37.42
"4/15/23 12 pm",31.77
"4/15/23 11 am",38.83
"4/15/23 10 am",37.42
"4/15/23 9 am",35.3
"4/15/23 8 am",31.77
"4/15/23 7 am",34.59
"4/15/23 6 am",32.48
"4/15/23 5 am",34.59
"4/15/23 4 am",34.59
"4/15/23 3 am",29.65
"4/15/23 2 am",26.83
"4/15/23 1 am",22.59
"4/15/23 12 am",31.77
"4/14/23 11 pm",37.42
"4/14/23 10 pm",24.71
"4/14/23 9 pm",25.42
"4/14/23 8 pm",23.3
"4/14/23 7 pm",21.18
"4/14/23 6 pm",19.77
"4/14/23 5 pm",18.36
"4/14/23 4 pm",19.06
"4/14/23 3 pm",16.94
"4/14/23 2 pm",16.24
"4/14/23 1 pm",12.71
"4/14/23 12 pm",13.41
"4/14/23 11 am",12
"4/14/23 10 am",7.06
"4/14/23 9 am",4.942
"4/14/23 8 am",4.942
"4/14/23 7 am",3.53
"4/14/23 6 am",4.942
"4/14/23 5 am",4.942
"4/14/23 4 am",4.236
"4/14/23 3 am",2.824
"4/14/23 2 am",4.942
"4/14/23 1 am",2.118
"4/14/23 12 am",0
"4/13/23 11 pm",7.06
"4/13/23 10 pm",4.942
"4/13/23 9 pm",2.824
"4/13/23 8 pm",7.06
"4/13/23 7 pm",7.766
"4/13/23 6 pm",4.942
"4/13/23 5 pm",9.18
"4/13/23 4 pm",11.3
"4/13/23 3 pm",8.47
"4/13/23 2 pm",12.71
"4/13/23 1 pm",13.41
"4/13/23 12 pm",9.88
