"Date/Time (PST)","mph (5020') Mt. Baker - Pan Dome"
"2/14/23 3 pm",9.88
"2/14/23 2 pm",9.18
"2/14/23 1 pm",9.88
"2/14/23 12 pm",11.3
"2/14/23 11 am",11.3
"2/14/23 10 am",13.41
"2/14/23 9 am",11.3
"2/14/23 8 am",8.47
"2/14/23 7 am",7.766
"2/14/23 6 am",7.06
"2/14/23 5 am",6.354
"2/14/23 4 am",5.648
"2/14/23 3 am",4.236
"2/14/23 2 am",7.06
"2/14/23 1 am",9.18
"2/14/23 12 am",13.41
"2/13/23 11 pm",15.53
"2/13/23 10 pm",14.83
"2/13/23 9 pm",13.41
"2/13/23 8 pm",10.59
"2/13/23 7 pm",15.53
"2/13/23 6 pm",14.12
"2/13/23 5 pm",7.766
"2/13/23 4 pm",5.648
"2/13/23 3 pm",6.354
"2/13/23 2 pm",9.88
"2/13/23 1 pm",12
"2/13/23 12 pm",10.59
"2/13/23 11 am",10.59
"2/13/23 10 am",9.88
"2/13/23 9 am",14.12
"2/13/23 8 am",21.18
"2/13/23 7 am",21.18
"2/13/23 6 am",12
"2/13/23 5 am",15.53
"2/13/23 4 am",13.41
"2/13/23 3 am",16.24
"2/13/23 2 am",13.41
"2/13/23 1 am",21.89
"2/13/23 12 am",24.71
"2/12/23 11 pm",28.24
"2/12/23 10 pm",31.77
"2/12/23 9 pm",41.65
"2/12/23 8 pm",40.24
"2/12/23 7 pm",35.3
"2/12/23 6 pm",35.3
"2/12/23 5 pm",26.83
"2/12/23 4 pm",25.42
"2/12/23 3 pm",30.36
"2/12/23 2 pm",35.3
"2/12/23 1 pm",21.89
"2/12/23 12 pm",23.3
"2/12/23 11 am",20.47
"2/12/23 10 am",19.06
"2/12/23 9 am",18.36
"2/12/23 8 am",20.47
"2/12/23 7 am",18.36
"2/12/23 6 am",15.53
"2/12/23 5 am",14.83
"2/12/23 4 am",14.83
"2/12/23 3 am",14.83
"2/12/23 2 am",16.94
"2/12/23 1 am",16.24
"2/12/23 12 am",16.24
"2/11/23 11 pm",18.36
"2/11/23 10 pm",18.36
"2/11/23 9 pm",17.65
"2/11/23 8 pm",16.94
"2/11/23 7 pm",19.06
"2/11/23 6 pm",15.53
"2/11/23 5 pm",12.71
"2/11/23 4 pm",12.71
"2/11/23 3 pm",14.83
"2/11/23 2 pm",9.88
"2/11/23 1 pm",12
"2/11/23 12 pm",13.41
"2/11/23 11 am",9.88
"2/11/23 10 am",9.88
"2/11/23 9 am",8.47
"2/11/23 8 am",6.354
"2/11/23 7 am",4.942
"2/11/23 6 am",8.47
"2/11/23 5 am",7.766
"2/11/23 4 am",9.18
"2/11/23 3 am",9.88
"2/11/23 2 am",1.412
"2/11/23 1 am",3.53
"2/11/23 12 am",4.236
"2/10/23 11 pm",4.236
"2/10/23 10 pm",3.53
"2/10/23 9 pm",3.53
"2/10/23 8 pm",3.53
"2/10/23 7 pm",16.94
"2/10/23 6 pm",14.83
"2/10/23 5 pm",16.94
"2/10/23 4 pm",19.06
"2/10/23 3 pm",19.77
"2/10/23 2 pm",19.06
"2/10/23 1 pm",20.47
"2/10/23 12 pm",25.42
"2/10/23 11 am",28.95
"2/10/23 10 am",28.95
"2/10/23 9 am",26.83
"2/10/23 8 am",28.95
"2/10/23 7 am",31.77
"2/10/23 6 am",34.59
"2/10/23 5 am",36.71
"2/10/23 4 am",35.3
"2/10/23 3 am",28.24
"2/10/23 2 am",51.54
"2/10/23 1 am",72.01
"2/10/23 12 am",68.48
"2/9/23 11 pm",60.01
"2/9/23 10 pm",35.3
"2/9/23 9 pm",43.07
"2/9/23 8 pm",41.65
"2/9/23 7 pm",32.48
"2/9/23 6 pm",23.3
"2/9/23 5 pm",16.94
"2/9/23 4 pm",26.12
"2/9/23 3 pm",26.12
"2/9/23 2 pm",25.42
"2/9/23 1 pm",31.06
"2/9/23 12 pm",24
"2/9/23 11 am",22.59
"2/9/23 10 am",21.18
"2/9/23 9 am",20.47
"2/9/23 8 am",17.65
"2/9/23 7 am",21.18
"2/9/23 6 am",21.89
"2/9/23 5 am",26.12
"2/9/23 4 am",26.12
"2/9/23 3 am",30.36
"2/9/23 2 am",28.24
"2/9/23 1 am",27.53
"2/9/23 12 am",24.71
"2/8/23 11 pm",26.83
"2/8/23 10 pm",27.53
"2/8/23 9 pm",24
"2/8/23 8 pm",21.89
"2/8/23 7 pm",19.06
"2/8/23 6 pm",13.41
"2/8/23 5 pm",13.41
"2/8/23 4 pm",9.88
"2/8/23 3 pm",8.47
"2/8/23 2 pm",7.06
"2/8/23 1 pm",13.41
"2/8/23 12 pm",13.41
"2/8/23 11 am",12.71
"2/8/23 10 am",10.59
"2/8/23 9 am",7.06
"2/8/23 8 am",4.236
"2/8/23 7 am",0
"2/8/23 6 am",0.706
"2/8/23 5 am",4.942
"2/8/23 4 am",5.648
"2/8/23 3 am",5.648
"2/8/23 2 am",14.12
"2/8/23 1 am",9.88
"2/8/23 12 am",5.648
"2/7/23 11 pm",12
"2/7/23 10 pm",13.41
"2/7/23 9 pm",5.648
"2/7/23 8 pm",11.3
"2/7/23 7 pm",15.53
"2/7/23 6 pm",16.24
"2/7/23 5 pm",18.36
"2/7/23 4 pm",23.3
"2/7/23 3 pm",16.94
"2/7/23 2 pm",13.41
"2/7/23 1 pm",25.42
"2/7/23 12 pm",26.83
"2/7/23 11 am",28.24
"2/7/23 10 am",28.95
"2/7/23 9 am",28.95
"2/7/23 8 am",29.65
"2/7/23 7 am",28.24
"2/7/23 6 am",32.48
"2/7/23 5 am",32.48
"2/7/23 4 am",33.89
"2/7/23 3 am",38.12
"2/7/23 2 am",38.83
"2/7/23 1 am",37.42
"2/7/23 12 am",42.36
"2/6/23 11 pm",43.07
"2/6/23 10 pm",43.07
"2/6/23 9 pm",36.71
"2/6/23 8 pm",40.24
"2/6/23 7 pm",36.71
"2/6/23 6 pm",32.48
"2/6/23 5 pm",32.48
"2/6/23 4 pm",31.06
"2/6/23 3 pm",34.59
"2/6/23 2 pm",24.71
"2/6/23 1 pm",21.18
"2/6/23 12 pm",19.06
"2/6/23 11 am",19.77
"2/6/23 10 am",21.18
"2/6/23 9 am",24
"2/6/23 8 am",26.83
"2/6/23 7 am",20.47
"2/6/23 6 am",19.77
"2/6/23 5 am",19.06
"2/6/23 4 am",9.18
"2/6/23 3 am",16.24
"2/6/23 2 am",13.41
"2/6/23 1 am",10.59
"2/6/23 12 am",10.59
"2/5/23 11 pm",19.06
"2/5/23 10 pm",24
"2/5/23 9 pm",13.41
"2/5/23 8 pm",9.88
"2/5/23 7 pm",12
"2/5/23 6 pm",12.71
"2/5/23 5 pm",15.53
"2/5/23 4 pm",14.83
"2/5/23 3 pm",8.47
"2/5/23 2 pm",6.354
"2/5/23 1 pm",5.648
"2/5/23 12 pm",4.236
"2/5/23 11 am",2.118
"2/5/23 10 am",0.706
"2/5/23 9 am",2.118
"2/5/23 8 am",7.06
"2/5/23 7 am",7.766
"2/5/23 6 am",7.06
"2/5/23 5 am",7.766
"2/5/23 4 am",9.88
"2/5/23 3 am",12
"2/5/23 2 am",11.3
"2/5/23 1 am",12.71
"2/5/23 12 am",7.766
"2/4/23 11 pm",8.47
"2/4/23 10 pm",10.59
"2/4/23 9 pm",13.41
"2/4/23 8 pm",8.47
"2/4/23 7 pm",7.06
"2/4/23 6 pm",7.766
"2/4/23 5 pm",11.3
"2/4/23 4 pm",12
"2/4/23 3 pm",15.53
"2/4/23 2 pm",13.41
"2/4/23 1 pm",20.47
"2/4/23 12 pm",17.65
"2/4/23 11 am",21.89
"2/4/23 10 am",19.77
"2/4/23 9 am",19.06
"2/4/23 8 am",23.3
"2/4/23 7 am",28.24
"2/4/23 6 am",35.3
"2/4/23 5 am",35.3
"2/4/23 4 am",35.3
"2/4/23 3 am",27.53
"2/4/23 2 am",28.24
"2/4/23 1 am",29.65
"2/4/23 12 am",37.42
"2/3/23 11 pm",37.42
"2/3/23 10 pm",50.83
"2/3/23 9 pm",48.71
"2/3/23 8 pm",44.48
"2/3/23 7 pm",40.95
"2/3/23 6 pm",36.71
"2/3/23 5 pm",43.07
"2/3/23 4 pm",39.54
"2/3/23 3 pm",39.54
"2/3/23 2 pm",47.3
"2/3/23 1 pm",63.54
"2/3/23 12 pm",43.07
"2/3/23 11 am",47.3
"2/3/23 10 am",28.95
"2/3/23 9 am",29.65
"2/3/23 8 am",15.53
"2/3/23 7 am",16.24
"2/3/23 6 am",14.12
"2/3/23 5 am",13.41
"2/3/23 4 am",8.47
"2/3/23 3 am",9.88
"2/3/23 2 am",12.71
"2/3/23 1 am",28.24
"2/3/23 12 am",32.48
"2/2/23 11 pm",53.66
"2/2/23 10 pm",55.77
"2/2/23 9 pm",43.77
"2/2/23 8 pm",40.24
"2/2/23 7 pm",26.83
"2/2/23 6 pm",51.54
"2/2/23 5 pm",45.89
"2/2/23 4 pm",45.89
"2/2/23 3 pm",52.24
"2/2/23 2 pm",43.07
"2/2/23 1 pm",40.95
"2/2/23 12 pm",40.95
"2/2/23 11 am",48.71
"2/2/23 10 am",48.01
"2/2/23 9 am",45.89
"2/2/23 8 am",34.59
"2/2/23 7 am",36.71
"2/2/23 6 am",36.71
"2/2/23 5 am",36.71
"2/2/23 4 am",37.42
"2/2/23 3 am",31.77
"2/2/23 2 am",33.18
"2/2/23 1 am",34.59
"2/2/23 12 am",32.48
"2/1/23 11 pm",33.18
"2/1/23 10 pm",26.83
"2/1/23 9 pm",32.48
"2/1/23 8 pm",33.18
"2/1/23 7 pm",31.06
"2/1/23 6 pm",28.24
"2/1/23 5 pm",27.53
"2/1/23 4 pm",33.18
"2/1/23 3 pm",36.71
"2/1/23 2 pm",32.48
"2/1/23 1 pm",28.95
"2/1/23 12 pm",31.77
"2/1/23 11 am",28.95
"2/1/23 10 am",26.83
"2/1/23 9 am",23.3
"2/1/23 8 am",24
"2/1/23 7 am",24
"2/1/23 6 am",24
"2/1/23 5 am",30.36
"2/1/23 4 am",31.06
"2/1/23 3 am",31.06
"2/1/23 2 am",26.83
"2/1/23 1 am",26.83
"2/1/23 12 am",28.95
"1/31/23 11 pm",27.53
"1/31/23 10 pm",25.42
"1/31/23 9 pm",21.89
"1/31/23 8 pm",23.3
"1/31/23 7 pm",19.77
"1/31/23 6 pm",19.77
"1/31/23 5 pm",18.36
"1/31/23 4 pm",16.94
"1/31/23 3 pm",14.12
"1/31/23 2 pm",14.83
"1/31/23 1 pm",10.59
"1/31/23 12 pm",9.88
"1/31/23 11 am",16.24
"1/31/23 10 am",21.89
"1/31/23 9 am",20.47
"1/31/23 8 am",19.77
"1/31/23 7 am",14.83
"1/31/23 6 am",12.71
"1/31/23 5 am",14.83
"1/31/23 4 am",12.71
"1/31/23 3 am",13.41
"1/31/23 2 am",13.41
"1/31/23 1 am",19.77
"1/31/23 12 am",22.59
"1/30/23 11 pm",24.71
"1/30/23 10 pm",21.89
"1/30/23 9 pm",19.77
"1/30/23 8 pm",24.71
"1/30/23 7 pm",19.06
"1/30/23 6 pm",19.06
"1/30/23 5 pm",18.36
"1/30/23 4 pm",21.89
"1/30/23 3 pm",19.77
"1/30/23 2 pm",16.24
"1/30/23 1 pm",16.24
"1/30/23 12 pm",11.3
"1/30/23 11 am",7.766
"1/30/23 10 am",12.71
"1/30/23 9 am",13.41
"1/30/23 8 am",10.59
"1/30/23 7 am",4.236
"1/30/23 6 am",5.648
"1/30/23 5 am",6.354
"1/30/23 4 am",5.648
"1/30/23 3 am",4.942
"1/30/23 2 am",4.236
"1/30/23 1 am",4.942
"1/30/23 12 am",5.648
"1/29/23 11 pm",4.942
"1/29/23 10 pm",4.236
"1/29/23 9 pm",4.236
"1/29/23 8 pm",4.236
"1/29/23 7 pm",8.47
"1/29/23 6 pm",9.18
"1/29/23 5 pm",3.53
"1/29/23 4 pm",6.354
"1/29/23 3 pm",8.47
"1/29/23 2 pm",10.59
"1/29/23 1 pm",10.59
"1/29/23 12 pm",11.3
"1/29/23 11 am",12.71
"1/29/23 10 am",18.36
"1/29/23 9 am",11.3
"1/29/23 8 am",9.88
"1/29/23 7 am",16.94
"1/29/23 6 am",10.59
"1/29/23 5 am",14.12
"1/29/23 4 am",25.42
"1/29/23 3 am",26.83
"1/29/23 2 am",26.12
"1/29/23 1 am",26.83
"1/29/23 12 am",26.83
"1/28/23 11 pm",19.77
"1/28/23 10 pm",26.12
"1/28/23 9 pm",26.12
"1/28/23 8 pm",20.47
"1/28/23 7 pm",26.12
"1/28/23 6 pm",31.06
"1/28/23 5 pm",31.06
"1/28/23 4 pm",26.12
"1/28/23 3 pm",21.18
"1/28/23 2 pm",21.18
"1/28/23 1 pm",28.95
"1/28/23 12 pm",25.42
"1/28/23 11 am",13.41
"1/28/23 10 am",9.18
"1/28/23 9 am",14.12
"1/28/23 8 am",19.77
"1/28/23 7 am",22.59
"1/28/23 6 am",20.47
"1/28/23 5 am",18.36
"1/28/23 4 am",18.36
"1/28/23 3 am",19.06
"1/28/23 2 am",16.94
"1/28/23 1 am",9.18
"1/28/23 12 am",7.766
"1/27/23 11 pm",7.766
"1/27/23 10 pm",5.648
"1/27/23 9 pm",6.354
"1/27/23 8 pm",2.824
"1/27/23 7 pm",5.648
"1/27/23 6 pm",6.354
"1/27/23 5 pm",9.88
"1/27/23 4 pm",4.942
"1/27/23 3 pm",3.53
"1/27/23 2 pm",7.06
"1/27/23 1 pm",4.236
"1/27/23 12 pm",5.648
"1/27/23 11 am",4.236
"1/27/23 10 am",4.236
"1/27/23 9 am",5.648
"1/27/23 8 am",5.648
"1/27/23 7 am",3.53
"1/27/23 6 am",6.354
"1/27/23 5 am",6.354
"1/27/23 4 am",6.354
"1/27/23 3 am",12.71
"1/27/23 2 am",15.53
"1/27/23 1 am",14.83
"1/27/23 12 am",20.47
"1/26/23 11 pm",15.53
"1/26/23 10 pm",17.65
"1/26/23 9 pm",16.94
"1/26/23 8 pm",18.36
"1/26/23 7 pm",17.65
"1/26/23 6 pm",16.94
"1/26/23 5 pm",17.65
"1/26/23 4 pm",14.83
"1/26/23 3 pm",16.24
"1/26/23 2 pm",14.12
"1/26/23 1 pm",20.47
"1/26/23 12 pm",12.71
"1/26/23 11 am",14.12
"1/26/23 10 am",24.71
"1/26/23 9 am",10.59
"1/26/23 8 am",12.71
"1/26/23 7 am",10.59
"1/26/23 6 am",14.12
"1/26/23 5 am",16.24
"1/26/23 4 am",20.47
"1/26/23 3 am",16.94
"1/26/23 2 am",9.88
"1/26/23 1 am",16.24
"1/26/23 12 am",12.71
"1/25/23 11 pm",12.71
"1/25/23 10 pm",12.71
"1/25/23 9 pm",0
"1/25/23 8 pm",1.412
"1/25/23 7 pm",4.236
"1/25/23 6 pm",4.942
"1/25/23 5 pm",6.354
"1/25/23 4 pm",4.942
"1/25/23 3 pm",5.648
"1/25/23 2 pm",7.766
"1/25/23 1 pm",7.766
"1/25/23 12 pm",3.53
"1/25/23 11 am",6.354
"1/25/23 10 am",4.236
"1/25/23 9 am",0
"1/25/23 8 am",0
"1/25/23 7 am",0
"1/25/23 6 am",0
"1/25/23 5 am",0
"1/25/23 4 am",0
"1/25/23 3 am",0
"1/25/23 2 am",0
"1/25/23 1 am",0
"1/25/23 12 am",0
"1/24/23 11 pm",0
"1/24/23 10 pm",0
"1/24/23 9 pm",0
"1/24/23 8 pm",0
"1/24/23 7 pm",0
"1/24/23 6 pm",0
"1/24/23 5 pm",0
"1/24/23 4 pm",0
"1/24/23 3 pm",4.236
"1/24/23 2 pm",0
"1/24/23 1 pm",0
"1/24/23 12 pm",2.824
"1/24/23 11 am",4.236
"1/24/23 10 am",2.824
"1/24/23 9 am",4.942
"1/24/23 8 am",6.354
"1/24/23 7 am",7.06
"1/24/23 6 am",7.766
"1/24/23 5 am",6.354
"1/24/23 4 am",6.354
"1/24/23 3 am",4.942
"1/24/23 2 am",7.06
"1/24/23 1 am",7.766
"1/24/23 12 am",7.766
"1/23/23 11 pm",3.53
"1/23/23 10 pm",4.942
"1/23/23 9 pm",2.118
"1/23/23 8 pm",0.706
"1/23/23 7 pm",5.648
"1/23/23 6 pm",7.766
"1/23/23 5 pm",9.88
"1/23/23 4 pm",7.06
"1/23/23 3 pm",4.236
"1/23/23 2 pm",7.06
"1/23/23 1 pm",3.53
"1/23/23 12 pm",6.354
"1/23/23 11 am",4.236
"1/23/23 10 am",4.942
"1/23/23 9 am",2.118
"1/23/23 8 am",5.648
"1/23/23 7 am",4.942
"1/23/23 6 am",5.648
"1/23/23 5 am",7.766
"1/23/23 4 am",4.942
"1/23/23 3 am",11.3
"1/23/23 2 am",13.41
"1/23/23 1 am",11.3
"1/23/23 12 am",10.59
"1/22/23 11 pm",8.47
"1/22/23 10 pm",8.47
"1/22/23 9 pm",7.06
"1/22/23 8 pm",7.06
"1/22/23 7 pm",5.648
"1/22/23 6 pm",4.236
"1/22/23 5 pm",2.824
"1/22/23 4 pm",3.53
"1/22/23 3 pm",2.118
"1/22/23 2 pm",3.53
"1/22/23 1 pm",4.942
"1/22/23 12 pm",4.236
"1/22/23 11 am",7.766
"1/22/23 10 am",9.18
"1/22/23 9 am",7.766
"1/22/23 8 am",7.06
"1/22/23 7 am",5.648
"1/22/23 6 am",4.236
"1/22/23 5 am",3.53
"1/22/23 4 am",2.824
"1/22/23 3 am",2.824
"1/22/23 2 am",3.53
"1/22/23 1 am",6.354
"1/22/23 12 am",5.648
"1/21/23 11 pm",3.53
"1/21/23 10 pm",3.53
"1/21/23 9 pm",7.06
"1/21/23 8 pm",16.24
"1/21/23 7 pm",19.77
"1/21/23 6 pm",19.77
"1/21/23 5 pm",27.53
"1/21/23 4 pm",40.95
"1/21/23 3 pm",33.18
"1/21/23 2 pm",31.77
"1/21/23 1 pm",33.89
"1/21/23 12 pm",38.12
"1/21/23 11 am",40.95
"1/21/23 10 am",30.36
"1/21/23 9 am",26.83
"1/21/23 8 am",21.18
"1/21/23 7 am",24.71
"1/21/23 6 am",24.71
"1/21/23 5 am",14.83
"1/21/23 4 am",9.88
"1/21/23 3 am",9.88
"1/21/23 2 am",0.706
"1/21/23 1 am",0
"1/21/23 12 am",0
"1/20/23 11 pm",0
"1/20/23 10 pm",0
"1/20/23 9 pm",0
"1/20/23 8 pm",0
"1/20/23 7 pm",0
"1/20/23 6 pm",0
"1/20/23 5 pm",0
"1/20/23 4 pm",0
"1/20/23 3 pm",0
"1/20/23 2 pm",0
"1/20/23 1 pm",0
"1/20/23 12 pm",0
"1/20/23 11 am",0
"1/20/23 10 am",0
"1/20/23 9 am",0
"1/20/23 8 am",0
"1/20/23 7 am",0
"1/20/23 6 am",0
"1/20/23 5 am",0
"1/20/23 4 am",0
"1/20/23 3 am",0
"1/20/23 2 am",0
"1/20/23 1 am",0
"1/20/23 12 am",0
"1/19/23 11 pm",0
"1/19/23 10 pm",0
"1/19/23 9 pm",0
"1/19/23 8 pm",0
"1/19/23 7 pm",0
"1/19/23 6 pm",0
"1/19/23 5 pm",0
"1/19/23 4 pm",0
"1/19/23 3 pm",0
"1/19/23 2 pm",0
"1/19/23 1 pm",0
"1/19/23 12 pm",0
"1/19/23 11 am",0
"1/19/23 10 am",0
"1/19/23 9 am",0
"1/19/23 8 am",0
"1/19/23 7 am",0
"1/19/23 6 am",0
"1/19/23 5 am",0
"1/19/23 4 am",0
"1/19/23 3 am",0
"1/19/23 2 am",0
"1/19/23 1 am",0
"1/19/23 12 am",0
"1/18/23 11 pm",0
"1/18/23 10 pm",0
"1/18/23 9 pm",0
"1/18/23 8 pm",0
"1/18/23 7 pm",0
"1/18/23 6 pm",0
"1/18/23 5 pm",0
"1/18/23 4 pm",0
"1/18/23 3 pm",0
"1/18/23 2 pm",0
"1/18/23 1 pm",14.12
"1/18/23 12 pm",19.06
"1/18/23 11 am",14.12
"1/18/23 10 am",9.88
"1/18/23 9 am",11.3
"1/18/23 8 am",9.88
"1/18/23 7 am",9.18
"1/18/23 6 am",20.47
"1/18/23 5 am",20.47
"1/18/23 4 am",25.42
"1/18/23 3 am",22.59
"1/18/23 2 am",22.59
"1/18/23 1 am",20.47
"1/18/23 12 am",22.59
"1/17/23 11 pm",19.06
"1/17/23 10 pm",19.06
"1/17/23 9 pm",24
"1/17/23 8 pm",21.89
"1/17/23 7 pm",28.24
"1/17/23 6 pm",28.95
"1/17/23 5 pm",28.95
"1/17/23 4 pm",30.36
"1/17/23 3 pm",31.06
"1/17/23 2 pm",28.95
"1/17/23 1 pm",18.36
"1/17/23 12 pm",17.65
"1/17/23 11 am",16.24
"1/17/23 10 am",15.53
"1/17/23 9 am",17.65
"1/17/23 8 am",16.24
"1/17/23 7 am",16.24
"1/17/23 6 am",14.83
"1/17/23 5 am",14.12
"1/17/23 4 am",12
"1/17/23 3 am",13.41
"1/17/23 2 am",13.41
"1/17/23 1 am",16.94
"1/17/23 12 am",20.47
"1/16/23 11 pm",21.89
"1/16/23 10 pm",18.36
"1/16/23 9 pm",21.89
"1/16/23 8 pm",19.06
"1/16/23 7 pm",16.94
"1/16/23 6 pm",16.94
"1/16/23 5 pm",14.12
"1/16/23 4 pm",15.53
"1/16/23 3 pm",17.65
"1/16/23 2 pm",21.89
"1/16/23 1 pm",25.42
"1/16/23 12 pm",25.42
"1/16/23 11 am",24.71
"1/16/23 10 am",28.24
"1/16/23 9 am",26.83
"1/16/23 8 am",29.65
"1/16/23 7 am",36.01
"1/16/23 6 am",37.42
"1/16/23 5 am",36.71
"1/16/23 4 am",38.83
"1/16/23 3 am",38.83
"1/16/23 2 am",42.36
"1/16/23 1 am",38.83
"1/16/23 12 am",32.48
"1/15/23 11 pm",34.59
"1/15/23 10 pm",21.18
"1/15/23 9 pm",16.94
"1/15/23 8 pm",15.53
"1/15/23 7 pm",19.77
"1/15/23 6 pm",24.71
"1/15/23 5 pm",9.88
"1/15/23 4 pm",11.3
"1/15/23 3 pm",15.53
"1/15/23 2 pm",14.83
"1/15/23 1 pm",9.88
"1/15/23 12 pm",7.06
"1/15/23 11 am",11.3
"1/15/23 10 am",9.18
"1/15/23 9 am",13.41
"1/15/23 8 am",7.06
"1/15/23 7 am",8.47
"1/15/23 6 am",4.236
"1/15/23 5 am",5.648
"1/15/23 4 am",9.88
"1/15/23 3 am",9.88
"1/15/23 2 am",4.236
"1/15/23 1 am",9.18
"1/15/23 12 am",6.354
"1/14/23 11 pm",7.06
"1/14/23 10 pm",9.88
"1/14/23 9 pm",8.47
"1/14/23 8 pm",4.942
"1/14/23 7 pm",5.648
"1/14/23 6 pm",7.06
"1/14/23 5 pm",7.06
"1/14/23 4 pm",7.06
"1/14/23 3 pm",7.06
"1/14/23 2 pm",13.41
"1/14/23 1 pm",10.59
"1/14/23 12 pm",4.942
"1/14/23 11 am",12
"1/14/23 10 am",12.71
"1/14/23 9 am",17.65
"1/14/23 8 am",23.3
"1/14/23 7 am",26.83
"1/14/23 6 am",32.48
"1/14/23 5 am",24
"1/14/23 4 am",29.65
"1/14/23 3 am",25.42
"1/14/23 2 am",32.48
"1/14/23 1 am",36.71
"1/14/23 12 am",28.24
"1/13/23 11 pm",24.71
"1/13/23 10 pm",26.83
"1/13/23 9 pm",27.53
"1/13/23 8 pm",31.06
"1/13/23 7 pm",26.12
"1/13/23 6 pm",26.12
"1/13/23 5 pm",20.47
"1/13/23 4 pm",25.42
"1/13/23 3 pm",29.65
"1/13/23 2 pm",28.95
"1/13/23 1 pm",36.71
"1/13/23 12 pm",42.36
"1/13/23 11 am",47.3
"1/13/23 10 am",44.48
"1/13/23 9 am",40.24
"1/13/23 8 am",38.12
"1/13/23 7 am",31.06
"1/13/23 6 am",30.36
"1/13/23 5 am",30.36
"1/13/23 4 am",31.06
"1/13/23 3 am",19.77
"1/13/23 2 am",25.42
"1/13/23 1 am",31.77
"1/13/23 12 am",38.12
"1/12/23 11 pm",25.42
"1/12/23 10 pm",26.12
"1/12/23 9 pm",31.06
"1/12/23 8 pm",28.95
"1/12/23 7 pm",21.89
"1/12/23 6 pm",24.71
"1/12/23 5 pm",28.95
"1/12/23 4 pm",28.95
"1/12/23 3 pm",31.77
"1/12/23 2 pm",27.53
"1/12/23 1 pm",23.3
"1/12/23 12 pm",26.83
"1/12/23 11 am",29.65
"1/12/23 10 am",27.53
"1/12/23 9 am",30.36
"1/12/23 8 am",26.12
"1/12/23 7 am",20.47
"1/12/23 6 am",19.77
"1/12/23 5 am",15.53
"1/12/23 4 am",20.47
"1/12/23 3 am",16.94
"1/12/23 2 am",21.18
"1/12/23 1 am",25.42
"1/12/23 12 am",21.89
"1/11/23 11 pm",31.06
"1/11/23 10 pm",24.71
"1/11/23 9 pm",25.42
"1/11/23 8 pm",25.42
"1/11/23 7 pm",23.3
"1/11/23 6 pm",19.77
"1/11/23 5 pm",15.53
"1/11/23 4 pm",16.24
"1/11/23 3 pm",16.24
"1/11/23 2 pm",12
"1/11/23 1 pm",16.94
"1/11/23 12 pm",21.18
"1/11/23 11 am",16.94
"1/11/23 10 am",13.41
"1/11/23 9 am",18.36
"1/11/23 8 am",21.18
"1/11/23 7 am",21.18
"1/11/23 6 am",11.3
"1/11/23 5 am",21.18
"1/11/23 4 am",16.94
"1/11/23 3 am",16.24
"1/11/23 2 am",18.36
"1/11/23 1 am",18.36
"1/11/23 12 am",11.3
"1/10/23 11 pm",14.12
"1/10/23 10 pm",13.41
"1/10/23 9 pm",10.59
"1/10/23 8 pm",12.71
"1/10/23 7 pm",8.47
"1/10/23 6 pm",12.71
"1/10/23 5 pm",7.766
"1/10/23 4 pm",9.18
"1/10/23 3 pm",8.47
"1/10/23 2 pm",9.88
"1/10/23 1 pm",9.88
"1/10/23 12 pm",6.354
"1/10/23 11 am",12
"1/10/23 10 am",12.71
"1/10/23 9 am",24
"1/10/23 8 am",25.42
"1/10/23 7 am",16.94
"1/10/23 6 am",18.36
"1/10/23 5 am",20.47
"1/10/23 4 am",23.3
"1/10/23 3 am",26.12
"1/10/23 2 am",25.42
"1/10/23 1 am",19.06
"1/10/23 12 am",16.24
"1/9/23 11 pm",25.42
"1/9/23 10 pm",36.71
"1/9/23 9 pm",40.95
"1/9/23 8 pm",18.36
"1/9/23 7 pm",33.89
"1/9/23 6 pm",40.24
"1/9/23 5 pm",31.06
"1/9/23 4 pm",28.24
"1/9/23 3 pm",32.48
"1/9/23 2 pm",31.77
"1/9/23 1 pm",23.3
"1/9/23 12 pm",14.83
"1/9/23 11 am",24
"1/9/23 10 am",18.36
"1/9/23 9 am",19.06
"1/9/23 8 am",16.24
"1/9/23 7 am",12
"1/9/23 6 am",9.88
"1/9/23 5 am",19.77
"1/9/23 4 am",13.41
"1/9/23 3 am",21.18
"1/9/23 2 am",27.53
"1/9/23 1 am",26.12
"1/9/23 12 am",35.3
"1/8/23 11 pm",48.01
"1/8/23 10 pm",31.06
"1/8/23 9 pm",40.24
"1/8/23 8 pm",44.48
"1/8/23 7 pm",50.13
"1/8/23 6 pm",46.6
"1/8/23 5 pm",43.77
"1/8/23 4 pm",53.66
"1/8/23 3 pm",31.77
"1/8/23 2 pm",22.59
"1/8/23 1 pm",18.36
"1/8/23 12 pm",19.77
"1/8/23 11 am",19.77
"1/8/23 10 am",16.24
"1/8/23 9 am",18.36
"1/8/23 8 am",12.71
"1/8/23 7 am",12.71
"1/8/23 6 am",14.12
"1/8/23 5 am",6.354
"1/8/23 4 am",8.47
"1/8/23 3 am",10.59
"1/8/23 2 am",9.88
"1/8/23 1 am",9.18
"1/8/23 12 am",12.71
"1/7/23 11 pm",12.71
"1/7/23 10 pm",8.47
"1/7/23 9 pm",8.47
"1/7/23 8 pm",10.59
"1/7/23 7 pm",9.88
"1/7/23 6 pm",12
"1/7/23 5 pm",18.36
"1/7/23 4 pm",24.71
"1/7/23 3 pm",19.06
"1/7/23 2 pm",8.47
